   6.1000000e+02	   1.4000000e+02	   6.0000000e+01	   1.0000000e+01	   1.2000000e+02	   9.5000000e+01	   1.1500000e+02	   7.6000000e+02	   1.7500000e+02	   3.1500000e+02	
   4.7500000e+02	   9.0000000e+01	   2.5000000e+02	   3.0000000e+01	   1.4000000e+02	   1.2000000e+02	   1.0000000e+02	   7.7500000e+02	   1.1500000e+02	   3.0500000e+02	
   1.0000000e+01	   0.0000000e+00	   4.9500000e+02	   1.1000000e+02	   1.7000000e+02	   1.1000000e+02	   1.3000000e+02	   7.8500000e+02	   1.6000000e+02	   4.3000000e+02	
   6.1500000e+02	   1.4100000e+02	   6.5000000e+01	   1.0000000e+01	   1.1500000e+02	   9.0000000e+01	   1.1500000e+02	   7.6500000e+02	   1.8000000e+02	   3.0500000e+02	
   1.7900000e+02	   2.9000000e+01	   4.2100000e+02	   8.7000000e+01	   1.6100000e+02	   1.1200000e+02	   1.1900000e+02	   7.7600000e+02	   1.4300000e+02	   3.7300000e+02	
   5.8500000e+02	   1.1500000e+02	   5.0000000e+01	   0.0000000e+00	   1.5000000e+02	   1.0500000e+02	   1.0000000e+02	   7.6000000e+02	   1.5000000e+02	   3.8500000e+02	
   4.8200000e+02	   9.4000000e+01	   1.9600000e+02	   1.8000000e+01	   1.4100000e+02	   1.3000000e+02	   9.6000000e+01	   7.7500000e+02	   1.3200000e+02	   3.3600000e+02	
   6.5200000e+02	   1.0000000e+02	   9.5000000e+01	   7.0000000e+00	   5.7000000e+01	   8.5000000e+01	   1.5000000e+02	   8.0700000e+02	   1.1500000e+02	   3.3000000e+02	
   5.1000000e+02	   7.0000000e+01	   3.0700000e+02	   3.0000000e+01	   8.0000000e+01	   9.5000000e+01	   1.4200000e+02	   8.1500000e+02	   8.7000000e+01	   2.6200000e+02	
   2.0000000e+01	   7.0000000e+00	   5.6700000e+02	   8.7000000e+01	   1.1200000e+02	   9.0000000e+01	   1.8000000e+02	   8.4200000e+02	   1.2500000e+02	   3.6700000e+02	
   6.5500000e+02	   9.7000000e+01	   9.7000000e+01	   1.0000000e+01	   5.2000000e+01	   8.5000000e+01	   1.5200000e+02	   8.0700000e+02	   1.2200000e+02	   3.2000000e+02	
   1.6800000e+02	   2.2000000e+01	   5.2900000e+02	   6.9000000e+01	   1.0200000e+02	   8.3000000e+01	   1.7400000e+02	   8.2500000e+02	   1.1900000e+02	   3.9200000e+02	
   6.4200000e+02	   1.0500000e+02	   7.2000000e+01	   0.0000000e+00	   6.2000000e+01	   7.7000000e+01	   1.4000000e+02	   8.1200000e+02	   1.0000000e+02	   3.8700000e+02	
